ptp4l[17490.622]: port 1 (enp4s0f1): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[17490.622]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[17490.622]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[17493.731]: port 1 (enp4s0f1): new foreign master 2cf05d.fffe.b46ed9-1
ptp4l[17496.706]: selected local clock 1cb72c.fffe.274c78 as best master
ptp4l[17497.732]: selected best master clock 2cf05d.fffe.b46ed9
ptp4l[17497.732]: port 1 (enp4s0f1): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[17498.733]: master offset    2551157 s0 freq -127500 path delay    481272
ptp4l[17499.733]: master offset    2710613 s0 freq -127500 path delay    478834
ptp4l[17500.733]: master offset    2925732 s0 freq -127500 path delay    463505
ptp4l[17501.733]: master offset    2965732 s0 freq -127500 path delay    447953
ptp4l[17502.734]: master offset    3138150 s0 freq -127500 path delay    442499
ptp4l[17503.734]: master offset    3239332 s0 freq -127500 path delay    447953
ptp4l[17504.734]: master offset    3102413 s0 freq -127500 path delay    447953
ptp4l[17505.734]: master offset    2931079 s0 freq -127500 path delay    442499
ptp4l[17506.734]: master offset    2899504 s0 freq -127500 path delay    442499
ptp4l[17507.734]: master offset    2833758 s0 freq -127500 path delay    427736
ptp4l[17508.734]: master offset    2721001 s0 freq -127500 path delay    424149
ptp4l[17509.734]: master offset    2681426 s0 freq -127500 path delay    424149
ptp4l[17510.734]: master offset    2608917 s0 freq -127500 path delay    424149
ptp4l[17511.734]: master offset    2594183 s0 freq -127500 path delay    433682
ptp4l[17512.734]: master offset    2598151 s0 freq -127500 path delay    424149
ptp4l[17513.734]: master offset    2540895 s0 freq -127500 path delay    408316
ptp4l[17514.735]: master offset    2511186 s1 freq -129998 path delay    398811
ptp4l[17515.735]: master offset     106007 s2 freq -119291 path delay    404758
ptp4l[17515.735]: port 1 (enp4s0f1): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[17516.735]: master offset     -77127 s2 freq -137682 path delay    443221
ptp4l[17517.735]: master offset    -103075 s2 freq -140380 path delay    443221
ptp4l[17518.735]: master offset       6285 s2 freq -129438 path delay    414690
ptp4l[17519.736]: master offset      94049 s2 freq -120567 path delay    342074
ptp4l[17520.736]: master offset     157292 s2 freq -114086 path delay    310348
ptp4l[17521.736]: master offset     123732 s2 freq -117318 path delay    310348
ptp4l[17522.736]: master offset     178325 s2 freq -111680 path delay    342074
ptp4l[17523.737]: master offset     201842 s2 freq -109127 path delay    379209
ptp4l[17524.737]: master offset     228687 s2 freq -106213 path delay    379209
ptp4l[17525.737]: master offset     278512 s2 freq -100952 path delay    336893
ptp4l[17526.737]: master offset     317964 s2 freq  -96689 path delay    296225
