ptp4l[20710.670]: port 1 (enp4s0f1): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[20710.670]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[20710.671]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[20712.142]: port 1 (enp4s0f1): new foreign master 2cf05d.fffe.b46ed9-1
ptp4l[20716.142]: selected best master clock 2cf05d.fffe.b46ed9
ptp4l[20716.142]: port 1 (enp4s0f1): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[20717.514]: master offset     -47298 s0 freq  +47350 path delay    438529
ptp4l[20718.514]: master offset     -68288 s0 freq  +47350 path delay    483812
ptp4l[20719.514]: master offset     -92017 s0 freq  +47350 path delay    452977
ptp4l[20720.515]: master offset     -79244 s1 freq  +24994 path delay    483812
ptp4l[20721.515]: master offset     415482 s2 freq +457344 path delay    452977
ptp4l[20721.515]: port 1 (enp4s0f1): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[20722.516]: master offset     556934 s2 freq +807099 path delay    411177
ptp4l[20723.515]: master offset     203647 s2 freq +723109 path delay    452977
ptp4l[20724.515]: master offset     -86561 s2 freq +439849 path delay    452977
ptp4l[20725.516]: master offset    -211467 s2 freq +232148 path delay    484702
ptp4l[20726.516]: master offset    -167021 s2 freq +207063 path delay    487736
ptp4l[20727.516]: master offset    -100431 s2 freq +195369 path delay    487736
ptp4l[20728.516]: master offset     -26510 s2 freq +248586 path delay    453867
ptp4l[20729.517]: master offset     -54014 s2 freq +217430 path delay    484634
ptp4l[20730.517]: master offset    -112161 s2 freq +133029 path delay    482667
ptp4l[20731.517]: master offset     -12300 s2 freq +177898 path delay    486779
ptp4l[20732.517]: master offset     -24354 s2 freq +171724 path delay    492645
ptp4l[20733.518]: master offset     -85262 s2 freq +114101 path delay    486779
ptp4l[20734.518]: master offset     -87240 s2 freq  +51109 path delay    486779
ptp4l[20735.518]: master offset     -42125 s2 freq  +69357 path delay    489543
ptp4l[20736.518]: master offset     -65158 s2 freq  +39015 path delay    497866
ptp4l[20737.519]: master offset      -1584 s2 freq  +69684 path delay    497866
ptp4l[20738.519]: master offset     -76682 s2 freq   -2225 path delay    497866
ptp4l[20739.519]: master offset     -39080 s2 freq   +9512 path delay    496857
